ID,Title,Description,Launch Date,Developer,Publisher,Price,Discount %,Original Price,Discounted Price,Recent Reviews,Recent Positive %,Recent Review Summary,Total Reviews,Total Positive %,Total Review Summary,Rating Value,Best Rating,Worst Rating,Tags,URL
578080,PUBG: BATTLEGROUNDS,"Play PUBG: BATTLEGROUNDS for free. Land on strategic locations, loot weapons and supplies, and survive to become the last team standing across various, diverse Battlegrounds. Squad up and join the Battlegrounds for the original Battle Royale experience that only PUBG: BATTLEGROUNDS can offer.","21 Dec, 2017","KRAFTON, Inc.","KRAFTON, Inc.",,,,,"15,379",67%,Mixed,2241610,57%,Mixed,6,10,1,Survival;Shooter;Battle Royale;Multiplayer;FPS;PvP;Third-Person Shooter;Action;Online Co-Op;Tactical;Co-op;First-Person;Strategy;Early Access;Competitive;Third Person;Team-Based;Difficult;Simulation;Stealth,https://store.steampowered.com/app/578080/PUBG_BATTLEGROUNDS/?snr=1_7_7_7000_150_1
730,Counter-Strike 2,"For over two decades, Counter-Strike has offered an elite competitive experience, one shaped by millions of players from across the globe. And now the next chapter in the CS story is about to begin. This is Counter-Strike 2.","21 Aug, 2012",Valve,Valve,"14,29€",,,,"87,980",66%,Mixed,7734648,87%,Very Positive,9,10,1,FPS;Shooter;Multiplayer;Competitive;Action;Team-Based;eSports;Tactical;First-Person;PvP;Online Co-Op;Co-op;Strategy;Military;War;Difficult;Trading;Realistic;Fast-Paced;Moddable,https://store.steampowered.com/app/730/CounterStrike_2/?snr=1_7_7_7000_150_1
1938090,Call of Duty®,"Welcome to Call of Duty® HQ, the home of Call of Duty®: Modern Warfare® III, Call of Duty®: Modern Warfare® II and Warzone™.","27 Oct, 2022",Infinity Ward;Raven Software;Beenox;Treyarch;High Moon Studios;Sledgehammer Games;Activision Shanghai;Demonware;Toys for Bob,Activision,"69,99€",,,,"9,735",46%,Mixed,254664,56%,Mixed,6,10,1,FPS;Multiplayer;Shooter;Action;Singleplayer;Military;First-Person;War;Modern;Tactical;Violent;Co-op;Realistic;Story Rich;Atmospheric;Mature;Online Co-Op;Gore;Third-Person Shooter;Third Person,https://store.steampowered.com/app/1938090/Call_of_Duty/?snr=1_7_7_7000_150_1
2195250,EA SPORTS FC™ 24,"EA SPORTS FC™ 24 welcomes you to The World’s Game: the most true-to-football experience ever with HyperMotionV, PlayStyles optimised by Opta, and an enhanced Frostbite™ Engine.","28 Sep, 2023",EA Canada & EA Romania,Electronic Arts,,,,,"7,070",53%,Mixed,14829,55%,Mixed,6,10,1,Sports;Football (Soccer);Controller;PvP;Competitive;eSports;PvE;3D;Multiplayer;First-Person;Simulation;Realistic;Action;Co-op;Family Friendly;Local Multiplayer;Local Co-Op;Online Co-Op;Singleplayer;Early Access,https://store.steampowered.com/app/2195250/EA_SPORTS_FC_24/?snr=1_7_7_7000_150_1
1086940,Baldur's Gate 3,"Baldur’s Gate 3 is a story-rich, party-based RPG set in the universe of Dungeons & Dragons, where your choices shape a tale of fellowship and betrayal, survival and sacrifice, and the lure of absolute power.","3 Aug, 2023",Larian Studios,Larian Studios,"59,99€",,,,"26,297",96%,Overwhelmingly Positive,352127,96%,Overwhelmingly Positive,10,10,1,RPG;Choices Matter;Character Customization;Story Rich;Turn-Based Combat;Adventure;Dungeons & Dragons;CRPG;Online Co-Op;Fantasy;Multiplayer;Romance;Strategy;Co-op Campaign;Singleplayer;Class-Based;Dark Fantasy;Combat;Controller;Stealth,https://store.steampowered.com/app/1086940/Baldurs_Gate_3/?snr=1_7_7_7000_150_1
2108330,F1® 23,"Be the last to brake in EA SPORTS™ F1® 23, the official video game of the 2023 FIA Formula One World Championship™. A new chapter in the thrilling ""Braking Point"" story mode delivers high-speed drama and heated rivalries.","15 Jun, 2023",Codemasters,Electronic Arts,,,,,638,79%,Mostly Positive,6463,84%,Very Positive,9,10,1,VR;Racing;Driving;Sports;Multiplayer;Automobile Sim;Singleplayer;Competitive;Simulation;Relaxing;eSports;Action-Adventure;3D;Immersive Sim;Cinematic;Arcade;3D Platformer;First-Person;PvP;PvE,https://store.steampowered.com/app/2108330/F1_23/?snr=1_7_7_7000_150_1
2399830,ARK: Survival Ascended,"ARK is reimagined from the ground-up into the next-generation of video game technology with Unreal Engine 5! Form a tribe, tame & breed hundreds of unique dinosaurs and primeval creatures, explore, craft, build, and fight your way to the top of the food-chain. Your new world awaits!","25 Oct, 2023",Studio Wildcard;Grove Street Games;Instinct Games,Studio Wildcard;Snail Games USA,"44,99€",,,,,,,24541,56%,Mixed,6,10,1,Early Access;Survival;Open World;Dinosaurs;Adventure;Action;Building;Multiplayer;Crafting;Sandbox;Base Building;Character Customization;Inventory Management;Singleplayer;PvP;PvE;Massively Multiplayer;Sci-fi;Fantasy;RPG,https://store.steampowered.com/app/2399830/ARK_Survival_Ascended/?snr=1_7_7_7000_150_1
2252570,Football Manager 2024,Build a world-class team ready to dominate your rivals in football’s most prestigious competitions. Progress never stops when you’re pursuing footballing greatness.,"6 Nov, 2023",Sports Interactive,SEGA,"59,99€",,,,,,,1233,85%,Very Positive,9,10,1,Simulation;Sports;Strategy;Football (Soccer);Real Time Tactics;eSports;Management;3D;2D;Economy;Text-Based;Multiplayer;Singleplayer,https://store.steampowered.com/app/2252570/Football_Manager_2024/?snr=1_7_7_7000_150_1
252490,Rust,"The only aim in Rust is to survive. Everything wants you to die - the island’s wildlife and other inhabitants, the environment, other survivors. Do whatever it takes to last another night.","8 Feb, 2018",Facepunch Studios,Facepunch Studios,"39,99€",,,,"8,780",86%,Very Positive,801368,87%,Very Positive,9,10,1,Survival;Crafting;Multiplayer;Open World;Open World Survival Craft;Building;PvP;Sandbox;Adventure;First-Person;Action;Nudity;FPS;Shooter;Co-op;Online Co-Op;Indie;Early Access;Post-apocalyptic;Simulation,https://store.steampowered.com/app/252490/Rust/?snr=1_7_7_7000_150_1
1337520,Risk of Rain Returns,"Carefully designed, beautifully remastered, and loaded with new ways to play—Risk of Rain is back and better than ever! Dive into the iconic roguelike full of unique loot combinations, enhanced with new Survivors, overhauled multiplayer, fan favorite content from Risk of Rain 2, and more!","8 Nov, 2023",Hopoo Games,Gearbox Publishing,,-15%,"14,99€","12,74€",,,,4830,85%,Very Positive,9,10,1,Multiplayer;Online Co-Op;PvE;Action Roguelike;Local Co-Op;Looter Shooter;2D;Sci-fi;Controller;Action;Space;Arcade;Class-Based;Loot;Atmospheric;Combat;Roguelike;Singleplayer;Co-op;4 Player Local,https://store.steampowered.com/app/1337520/Risk_of_Rain_Returns/?snr=1_7_7_7000_150_1
